s,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.1175136E+000, 2.0011828E+001, 2.0011741E+001, 2.0011595E+001, 3.7828228E+001, 1.9999982E+001, 2.0000070E+001
 1.0203486E+001, 2.0104074E+001, 2.0103800E+001, 2.0103315E+001, 7.8317997E+001, 2.0000020E+001, 2.0000289E+001
 1.5075719E+001, 2.0272010E+001, 2.4136448E+001, 2.0270826E+001, 1.1980202E+002, 2.0000159E+001, 2.0000552E+001
 2.0049105E+001, 2.0515446E+001, 4.3657970E+001, 2.0514140E+001, 1.5000229E+002, 2.0000302E+001, 2.0000618E+001
 2.5231588E+001, 2.0891622E+001, 6.0193072E+001, 2.0890309E+001, 1.5562820E+002, 2.0000559E+001, 2.0000446E+001
 3.0191259E+001, 2.1326813E+001, 7.6638781E+001, 2.1326044E+001, 1.9219411E+002, 2.0000951E+001, 1.9999607E+001
 3.5023601E+001, 2.1844524E+001, 9.0157548E+001, 2.1835884E+001, 1.9820971E+002, 2.0001489E+001, 1.9989907E+001
 4.0210478E+001, 2.2568224E+001, 9.9645663E+001, 2.2393276E+001, 1.7621595E+002, 2.0002242E+001, 1.9914628E+001
 4.5055983E+001, 2.3385628E+001, 1.0675878E+002, 2.2906552E+001, 1.4056226E+002, 2.0003715E+001, 1.9775516E+001
 5.0024527E+001, 2.3968220E+001, 1.0855863E+002, 2.3381082E+001, 1.8908867E+002, 2.0010689E+001, 1.9766061E+001
 5.5050946E+001, 2.4446665E+001, 1.1631358E+002, 2.3956531E+001, 2.2083204E+002, 2.0038286E+001, 1.9917922E+001
 6.0007769E+001, 2.4969029E+001, 1.2799265E+002, 2.5529707E+001, 2.1682164E+002, 2.0080454E+001, 2.0164335E+001
 6.5056792E+001, 2.5514864E+001, 7.4987200E+001, 2.6713413E+001, 2.3562414E+002, 2.0093484E+001, 2.0338245E+001
 7.0164973E+001, 2.6007519E+001, 8.2774919E+001, 2.7077499E+001, 2.0648624E+002, 2.0086283E+001, 2.0407516E+001
 7.5107313E+001, 2.6421548E+001, 1.1947119E+002, 2.7221415E+001, 2.3802154E+002, 2.0103512E+001, 2.0458447E+001
 8.0035172E+001, 2.6778184E+001, 9.9301983E+001, 2.7386782E+001, 2.1026052E+002, 2.0151573E+001, 2.0508145E+001
 8.5201144E+001, 2.7075938E+001, 6.5043871E+001, 2.7615512E+001, 2.5505057E+002, 2.0185685E+001, 2.0514710E+001
 9.0032387E+001, 2.7420696E+001, 1.1194701E+002, 2.7901650E+001, 2.1479207E+002, 2.0154698E+001, 2.0485212E+001
 9.5034495E+001, 2.8093546E+001, 8.3915525E+001, 2.8180506E+001, 2.1376174E+002, 2.0084683E+001, 2.0435762E+001
 1.0011657E+002, 3.0495330E+001, 7.8220055E+001, 2.8418984E+001, 2.7200622E+002, 2.0021696E+001, 2.0358512E+001
 1.0514750E+002, 3.0805161E+001, 1.1672645E+002, 2.8663739E+001, 1.6822661E+002, 1.9983118E+001, 2.0279551E+001
 1.1003937E+002, 3.0630906E+001, 9.0361355E+001, 2.8869156E+001, 1.5590060E+002, 1.9961097E+001, 2.0205589E+001
 1.1507441E+002, 3.0876899E+001, 8.4035785E+001, 2.9031950E+001, 1.9093285E+002, 1.9947837E+001, 2.0108427E+001
 1.2015300E+002, 3.0536180E+001, 7.6706201E+001, 2.9139715E+001, 2.8181190E+002, 1.9924671E+001, 1.9991969E+001
