s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4375388E-002,-2.0139446E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4375388E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8652328E+000,-5.8652328E+000,-5.8652328E+000
 6.0993915E+000, 1.8395991E+002, 0.0000000E+000,-2.8081479E+001, 5.7613686E-001,-4.1711730E-001,-1.3332179E-002, 5.5587576E+001, 0.0000000E+000, 1.6980727E+002, 2.1161170E+002, 0.0000000E+000, 4.5895443E-003, 0.0000000E+000,-5.8255833E+000, 6.4679046E+001,-5.8364376E+000
 1.2193308E+001, 5.3465657E+002, 0.0000000E+000,-1.2439960E+002,-1.4923931E+001,-1.0603647E+001,-3.7313993E-002, 1.6120992E+002, 0.0000000E+000, 5.3904142E+002, 5.4590201E+002, 0.0000000E+000, 1.2583075E-002, 0.0000000E+000,-5.5662718E+000, 2.9593241E+002,-5.6849201E+000
 1.8164566E+001, 9.3222589E+002, 0.0000000E+000,-2.7275901E+002,-3.0329718E+001,-1.5636196E+001,-6.1190292E-002, 2.5591364E+002, 0.0000000E+000, 8.5085848E+002, 8.6935342E+002, 0.0000000E+000, 2.1541139E-002, 0.0000000E+000,-5.4102778E+000, 6.5546256E+002,-5.6008143E+000
 2.4053751E+001, 1.3320632E+003, 0.0000000E+000,-2.7900073E+002,-2.9556287E+001,-3.1488216E+001,-8.7394835E-002, 4.0778872E+002, 0.0000000E+000, 1.3865652E+003, 1.3997193E+003, 0.0000000E+000, 3.0572758E-002, 0.0000000E+000,-5.2533102E+000, 1.2242702E+003,-5.4936361E+000
 3.0191259E+001, 1.7451339E+003, 0.0000000E+000,-5.0325583E+002,-4.0058425E+001,-5.7501355E+001,-1.0667458E-001, 4.7474693E+002, 0.0000000E+000, 1.6090463E+003, 1.6189585E+003, 0.0000000E+000, 3.9722180E-002, 0.0000000E+000,-5.0938774E+000, 1.9151663E+003,-5.3523855E+000
 3.6158150E+001, 1.9782483E+003, 0.0000000E+000,-3.8878772E+002,-2.0120391E+001,-8.4062690E+001,-1.2195860E-001, 6.0351654E+002, 0.0000000E+000, 2.0820577E+003, 2.0886721E+003, 0.0000000E+000, 4.4539025E-002, 0.0000000E+000,-4.9806825E+000, 2.7715521E+003,-5.2637194E+000
 4.2165417E+001, 2.0331593E+003, 0.0000000E+000,-5.1256260E+002, 8.6666318E+000,-1.1490101E+002,-1.2949418E-001, 5.6386039E+002, 0.0000000E+000, 1.9847455E+003, 1.9780932E+003, 0.0000000E+000, 4.5613164E-002, 0.0000000E+000,-4.9925344E+000, 3.5800299E+003,-5.2646864E+000
 4.8131168E+001, 2.0842512E+003, 0.0000000E+000,-5.6177604E+002,-4.2447292E+000,-1.4617918E+002,-1.3373639E-001, 5.5069356E+002, 0.0000000E+000, 1.9166758E+003, 1.9226110E+003, 0.0000000E+000, 4.6686676E-002, 0.0000000E+000,-4.9851888E+000, 4.3613824E+003,-5.3383302E+000
 5.4085361E+001, 2.1152004E+003, 0.0000000E+000,-5.7179547E+002, 2.0980971E+000,-1.8295540E+002,-1.3477867E-001, 5.4562061E+002, 0.0000000E+000, 1.9090711E+003, 1.9080335E+003, 0.0000000E+000, 4.7756985E-002, 0.0000000E+000,-5.0090333E+000, 5.1353153E+003,-5.4090644E+000
 6.0007771E+001, 2.1852986E+003, 0.0000000E+000,-6.1975074E+002,-6.9924092E+001,-2.3293544E+002,-1.3739969E-001, 5.3914327E+002, 0.0000000E+000, 1.8128721E+003, 1.8016942E+003, 0.0000000E+000, 4.8821287E-002, 0.0000000E+000,-4.7172167E+000, 5.8968400E+003,-5.2114957E+000
 6.6117073E+001, 2.2045240E+003, 0.0000000E+000,-6.3563603E+002,-6.9361203E+000,-2.5013162E+002,-1.4137351E-001, 5.2674008E+002, 0.0000000E+000, 1.8358757E+003, 1.8384190E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5562870E+000, 6.6635576E+003,-5.0806244E+000
 7.2130020E+001, 2.1827376E+003, 0.0000000E+000,-6.6440079E+002, 3.3746209E+001,-2.8009781E+002,-1.4035139E-001, 4.9413585E+002, 0.0000000E+000, 1.7621869E+003, 1.7659807E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5394100E+000, 7.3705067E+003,-5.0024394E+000
 7.8177528E+001, 2.1991954E+003, 0.0000000E+000,-6.8970210E+002,-4.0776861E+001,-3.2562430E+002,-1.4157298E-001, 4.7766515E+002, 0.0000000E+000, 1.6248205E+003, 1.6206157E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4838928E+000, 8.0583173E+003,-4.9020869E+000
 8.4029114E+001, 2.2028372E+003, 0.0000000E+000,-7.7191393E+002,-4.6057523E+001,-3.4519266E+002,-1.4280962E-001, 4.3439786E+002, 0.0000000E+000, 1.4769596E+003, 1.4739282E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.5383215E+000, 8.6646242E+003,-4.8434485E+000
 9.0032387E+001, 2.2088431E+003, 0.0000000E+000,-7.7941198E+002,-7.6467284E+000,-3.7159998E+002,-1.4324143E-001, 4.2117085E+002, 0.0000000E+000, 1.4666558E+003, 1.4712120E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4314498E+000, 9.2662579E+003,-4.6919036E+000
 9.6131874E+001, 2.1984867E+003, 0.0000000E+000,-8.5633782E+002,-2.6736817E+001,-4.1204276E+002,-1.4276864E-001, 3.7419547E+002, 0.0000000E+000, 1.2876820E+003, 1.2774220E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.3226438E+000, 9.8120013E+003,-4.5514451E+000
 1.0203600E+002, 2.2020545E+003, 0.0000000E+000,-8.5210575E+002,-6.3157720E+000,-4.3306424E+002,-1.4322352E-001, 3.6573529E+002, 0.0000000E+000, 1.2747922E+003, 1.2761608E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.1241756E+000, 1.0326505E+004,-4.3824655E+000
 1.0817010E+002, 2.1930700E+003, 0.0000000E+000,-9.0623611E+002, 6.0352151E+001,-4.4962468E+002,-1.3951688E-001, 3.3272148E+002, 0.0000000E+000, 1.2247418E+003, 1.2301434E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.7563635E+000, 1.0812310E+004,-4.1368793E+000
 1.1412304E+002, 2.2072982E+003, 0.0000000E+000,-9.4776707E+002, 5.1028769E+001,-4.8109558E+002,-1.3996084E-001, 3.1085448E+002, 0.0000000E+000, 1.1449786E+003, 1.1401789E+003, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.4821625E+000, 1.1254235E+004,-3.9553080E+000
 1.2015301E+002, 2.2088683E+003, 0.0000000E+000,-9.9082676E+002, 9.3859776E+000,-5.1903933E+002,-1.4190323E-001, 2.8055788E+002, 0.0000000E+000, 9.8426493E+002, 9.8880412E+002, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.3152519E+000, 1.1655958E+004,-3.8000258E+000
 1.2603567E+002, 2.1903837E+003, 0.0000000E+000,-1.0374865E+003, 2.8527270E-001,-5.3649943E+002,-1.4234273E-001, 2.4926906E+002, 0.0000000E+000, 8.7011406E+002, 8.6580976E+002, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.3746362E+000, 1.2006298E+004,-3.7405840E+000
 1.3209077E+002, 2.1989155E+003, 0.0000000E+000,-1.0178145E+003, 1.5111461E+000,-5.5525771E+002,-1.4171980E-001, 2.5338405E+002, 0.0000000E+000, 8.8884017E+002, 8.8059679E+002, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.6205297E+000, 1.2373699E+004,-3.8379262E+000
 1.3810066E+002, 2.1966095E+003, 0.0000000E+000,-1.0938630E+003, 8.6847953E+000,-5.7524922E+002,-1.3910182E-001, 2.1130235E+002, 0.0000000E+000, 7.4145153E+002, 7.4734529E+002, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.9108167E+000, 1.2675171E+004,-4.0112081E+000
 1.4420195E+002, 2.2019934E+003, 0.0000000E+000,-1.1416271E+003,-5.5952508E+000,-5.9965927E+002,-1.3900827E-001, 1.8681036E+002, 0.0000000E+000, 6.4479189E+002, 6.4178315E+002, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.1837845E+000, 1.2947230E+004,-4.1375380E+000
