,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-11-17T00:16:27.834+08:00, 0.922E+00,   0.92183, 0.28438E+01
       2,2025-11-17T00:16:27.874+08:00, 0.922E+00,   1.84365, 0.28750E+01
       3,2025-11-17T00:16:27.958+08:00, 0.922E+00,   2.76548, 0.30000E+01
       4,2025-11-17T00:16:27.990+08:00, 0.922E+00,   3.68730, 0.30312E+01
       5,2025-11-17T00:16:28.034+08:00, 0.560E+00,   4.24749, 0.31094E+01
       6,2025-11-17T00:16:28.128+08:00, 0.435E+00,   4.68250, 0.32188E+01
       7,2025-11-17T00:16:28.172+08:00, 0.435E+00,   5.11751, 0.32500E+01
       8,2025-11-17T00:16:28.225+08:00, 0.344E+00,   5.46188, 0.33594E+01
       9,2025-11-17T00:16:28.315+08:00, 0.344E+00,   5.80624, 0.35312E+01
      10,2025-11-17T00:16:28.363+08:00, 0.293E+00,   6.09939, 0.35625E+01
      20,2025-11-17T00:16:28.861+08:00, 0.293E+00,   9.03089, 0.42812E+01
      30,2025-11-17T00:16:29.460+08:00, 0.262E+00,  11.93127, 0.53125E+01
      40,2025-11-17T00:16:29.933+08:00, 0.262E+00,  14.55164, 0.59844E+01
      50,2025-11-17T00:16:30.425+08:00, 0.236E+00,  16.98673, 0.69844E+01
      60,2025-11-17T00:16:30.956+08:00, 0.236E+00,  19.34240, 0.77344E+01
      70,2025-11-17T00:16:31.453+08:00, 0.236E+00,  21.69808, 0.85938E+01
      80,2025-11-17T00:16:32.072+08:00, 0.236E+00,  24.05375, 0.96250E+01
      90,2025-11-17T00:16:32.969+08:00, 0.236E+00,  26.40943, 0.11000E+02
     100,2025-11-17T00:16:33.459+08:00, 0.210E+00,  28.51044, 0.11953E+02
     200,2025-11-17T00:16:39.266+08:00, 0.226E+00,  49.34673, 0.20328E+02
     300,2025-11-17T00:16:45.999+08:00, 0.207E+00,  69.95795, 0.31234E+02
     400,2025-11-17T00:16:52.118+08:00, 0.203E+00,  91.73148, 0.40812E+02
     500,2025-11-17T00:16:58.509+08:00, 0.242E+00, 112.83169, 0.50844E+02
     600,2025-11-17T00:17:06.084+08:00, 0.204E+00, 134.31120, 0.62547E+02
     700,2025-11-17T00:17:12.759+08:00, 0.211E+00, 156.47224, 0.73031E+02
     800,2025-11-17T00:17:18.716+08:00, 0.215E+00, 177.96566, 0.82516E+02
     900,2025-11-17T00:17:26.370+08:00, 0.286E+00, 200.46242, 0.94828E+02
    1000,2025-11-17T00:17:33.791+08:00, 0.198E+00, 221.70543, 0.10659E+03
    1100,2025-11-17T00:17:40.209+08:00, 0.203E+00, 243.57247, 0.11769E+03
    1200,2025-11-17T00:17:46.453+08:00, 0.235E+00, 264.98900, 0.12770E+03
    1300,2025-11-17T00:17:52.483+08:00, 0.222E+00, 285.63308, 0.13672E+03
    1400,2025-11-17T00:17:58.538+08:00, 0.215E+00, 308.53422, 0.14689E+03
    1500,2025-11-17T00:18:04.319+08:00, 0.232E+00, 331.22627, 0.15558E+03
    1600,2025-11-17T00:18:10.213+08:00, 0.214E+00, 353.79154, 0.16533E+03
    1700,2025-11-17T00:18:15.970+08:00, 0.251E+00, 375.59544, 0.17405E+03
    1800,2025-11-17T00:18:21.708+08:00, 0.206E+00, 398.81876, 0.18319E+03
    1900,2025-11-17T00:18:27.605+08:00, 0.207E+00, 419.64823, 0.19283E+03
    2000,2025-11-17T00:18:33.358+08:00, 0.212E+00, 440.51777, 0.20114E+03
    2100,2025-11-17T00:18:39.100+08:00, 0.238E+00, 461.73077, 0.21020E+03
    2200,2025-11-17T00:18:44.842+08:00, 0.251E+00, 484.48298, 0.21900E+03
    2300,2025-11-17T00:18:50.608+08:00, 0.178E+00, 505.62721, 0.22802E+03
    2400,2025-11-17T00:18:56.735+08:00, 0.197E+00, 527.45285, 0.23803E+03
    2500,2025-11-17T00:19:02.663+08:00, 0.212E+00, 548.70776, 0.24750E+03
    2600,2025-11-17T00:19:08.359+08:00, 0.210E+00, 569.42302, 0.25664E+03
    2700,2025-11-17T00:19:14.234+08:00, 0.215E+00, 590.94740, 0.26556E+03
    2742,2025-11-17T00:19:16.579+08:00, 0.122E+00, 600.00000, 0.26923E+03
