s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4362506E-003,-2.8421709E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4362506E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8652328E+000
 6.1930065E+000, 5.4910982E+002, 0.0000000E+000,-9.4175543E+001,-3.6434164E-001,-1.9179493E+000,-3.8595071E-002, 1.6423624E+002, 0.0000000E+000, 5.1090860E+002, 6.1684964E+002, 0.0000000E+000, 1.3777082E-002, 0.0000000E+000, 4.9859018E+002
 1.2198737E+001, 1.5995914E+003, 0.0000000E+000,-4.3917083E+002, 2.4765784E+001,-3.0619114E+001,-1.0676872E-001, 4.4970524E+002, 0.0000000E+000, 1.5727816E+003, 1.6041657E+003, 0.0000000E+000, 3.7625376E-002, 0.0000000E+000, 1.9816701E+003
 1.8106958E+001, 2.6813730E+003, 0.0000000E+000,-7.6520258E+002,-2.1872548E+001,-9.5116258E+001,-1.7120235E-001, 7.2711503E+002, 0.0000000E+000, 2.5036412E+003, 2.5261255E+003, 0.0000000E+000, 6.1574447E-002, 0.0000000E+000, 4.3527200E+003
 2.4162180E+001, 3.7407247E+003, 0.0000000E+000,-1.2009018E+003,-3.7813868E+001,-2.0397920E+002,-2.3550811E-001, 9.2890387E+002, 0.0000000E+000, 3.2206048E+003, 3.2266982E+003, 0.0000000E+000, 8.5702625E-002, 0.0000000E+000, 7.4717979E+003
 3.0113022E+001, 4.8472375E+003, 0.0000000E+000,-1.7221352E+003,-1.0569346E+001,-3.5741266E+002,-2.9371856E-001, 1.0920933E+003, 0.0000000E+000, 3.8392258E+003, 3.8489200E+003, 0.0000000E+000, 1.0989670E-001, 0.0000000E+000, 1.1072714E+004
 3.6018478E+001, 5.3960496E+003, 0.0000000E+000,-1.9462631E+003,-2.5321750E+000,-5.6538128E+002,-3.2398800E-001, 1.1412014E+003, 0.0000000E+000, 4.0371052E+003, 4.0227504E+003, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.4818709E+004
 4.2049286E+001, 5.4050842E+003, 0.0000000E+000,-2.0309283E+003,-1.1622248E+001,-7.7081305E+002,-3.2523196E-001, 1.0340383E+003, 0.0000000E+000, 3.6484214E+003, 3.6254337E+003, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.8286724E+004
 4.8163269E+001, 5.3575997E+003, 0.0000000E+000,-2.2487105E+003, 1.2996216E+001,-9.4479000E+002,-3.2209061E-001, 8.6981228E+002, 0.0000000E+000, 3.0804273E+003, 3.0465857E+003, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.1253999E+004
 5.4111618E+001, 5.4363500E+003, 0.0000000E+000,-2.4589102E+003, 2.8304035E+000,-1.0934638E+003,-3.2456546E-001, 7.5572325E+002, 0.0000000E+000, 2.6703826E+003, 2.6422051E+003, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.3754231E+004
 6.0048302E+001, 5.4055424E+003, 0.0000000E+000,-2.6062165E+003, 3.3258257E+001,-1.2214761E+003,-3.1890667E-001, 6.4019405E+002, 0.0000000E+000, 2.2825534E+003, 2.2509833E+003, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.5870393E+004
 6.6114616E+001, 5.3814038E+003, 0.0000000E+000,-2.7638765E+003, 8.9758106E+000,-1.3208073E+003,-3.1976398E-001, 5.3296267E+002, 0.0000000E+000, 1.8785111E+003, 1.8383387E+003, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.7669829E+004
