,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-11-19T05:34:14.437+08:00, 0.922E+00,   0.92183, 0.18125E+01
       2,2025-11-19T05:34:14.460+08:00, 0.922E+00,   1.84365, 0.18438E+01
       3,2025-11-19T05:34:14.505+08:00, 0.922E+00,   2.76548, 0.18906E+01
       4,2025-11-19T05:34:14.536+08:00, 0.757E+00,   3.52269, 0.19062E+01
       5,2025-11-19T05:34:14.561+08:00, 0.346E+00,   3.86913, 0.19375E+01
       6,2025-11-19T05:34:14.604+08:00, 0.381E+00,   4.25023, 0.20625E+01
       7,2025-11-19T05:34:14.630+08:00, 0.324E+00,   4.57393, 0.21406E+01
       8,2025-11-19T05:34:14.655+08:00, 0.270E+00,   4.84378, 0.21562E+01
       9,2025-11-19T05:34:14.699+08:00, 0.270E+00,   5.11362, 0.21875E+01
      10,2025-11-19T05:34:14.718+08:00, 0.270E+00,   5.38347, 0.22031E+01
      20,2025-11-19T05:34:14.989+08:00, 0.270E+00,   8.08193, 0.25000E+01
      30,2025-11-19T05:34:15.251+08:00, 0.242E+00,  10.50358, 0.29375E+01
      40,2025-11-19T05:34:15.492+08:00, 0.217E+00,  12.87530, 0.31875E+01
      50,2025-11-19T05:34:15.742+08:00, 0.195E+00,  14.98168, 0.34219E+01
      60,2025-11-19T05:34:15.981+08:00, 0.195E+00,  16.93498, 0.37344E+01
      70,2025-11-19T05:34:16.220+08:00, 0.195E+00,  18.88828, 0.41250E+01
      80,2025-11-19T05:34:16.458+08:00, 0.195E+00,  20.84158, 0.44375E+01
      90,2025-11-19T05:34:16.693+08:00, 0.195E+00,  22.79487, 0.48438E+01
     100,2025-11-19T05:34:16.924+08:00, 0.195E+00,  24.74817, 0.51562E+01
     200,2025-11-19T05:34:19.359+08:00, 0.137E+00,  40.26746, 0.83281E+01
     300,2025-11-19T05:34:21.984+08:00, 0.168E+00,  57.52368, 0.11625E+02
     400,2025-11-19T05:34:24.370+08:00, 0.176E+00,  75.74155, 0.14875E+02
     500,2025-11-19T05:34:26.671+08:00, 0.169E+00,  92.86659, 0.17844E+02
     600,2025-11-19T05:34:29.193+08:00, 0.164E+00, 109.15109, 0.21188E+02
     700,2025-11-19T05:34:32.331+08:00, 0.161E+00, 125.80550, 0.25406E+02
     800,2025-11-19T05:34:35.441+08:00, 0.161E+00, 141.87933, 0.29797E+02
     900,2025-11-19T05:34:38.018+08:00, 0.170E+00, 158.63606, 0.33141E+02
    1000,2025-11-19T05:34:40.574+08:00, 0.184E+00, 175.84601, 0.36641E+02
    1100,2025-11-19T05:34:43.761+08:00, 0.172E+00, 194.06707, 0.40609E+02
    1200,2025-11-19T05:34:46.275+08:00, 0.165E+00, 210.53488, 0.44094E+02
    1300,2025-11-19T05:34:48.689+08:00, 0.195E+00, 227.77382, 0.47828E+02
    1400,2025-11-19T05:34:51.919+08:00, 0.194E+00, 246.15790, 0.52453E+02
    1500,2025-11-19T05:34:54.530+08:00, 0.180E+00, 265.46529, 0.55938E+02
    1600,2025-11-19T05:34:57.045+08:00, 0.165E+00, 285.71988, 0.59516E+02
    1700,2025-11-19T05:34:59.534+08:00, 0.196E+00, 302.82605, 0.63125E+02
    1800,2025-11-19T05:35:02.343+08:00, 0.219E+00, 321.42387, 0.66969E+02
    1900,2025-11-19T05:35:05.019+08:00, 0.208E+00, 342.03217, 0.70719E+02
    2000,2025-11-19T05:35:07.675+08:00, 0.246E+00, 364.89332, 0.74500E+02
    2100,2025-11-19T05:35:10.384+08:00, 0.245E+00, 388.27566, 0.78312E+02
    2200,2025-11-19T05:35:13.071+08:00, 0.265E+00, 411.88857, 0.81953E+02
    2300,2025-11-19T05:35:15.861+08:00, 0.242E+00, 438.45700, 0.85562E+02
    2400,2025-11-19T05:35:18.578+08:00, 0.193E+00, 460.70128, 0.89406E+02
    2500,2025-11-19T05:35:21.156+08:00, 0.286E+00, 486.02289, 0.93062E+02
    2600,2025-11-19T05:35:24.258+08:00, 0.267E+00, 512.02263, 0.97203E+02
    2700,2025-11-19T05:35:27.011+08:00, 0.339E+00, 539.13128, 0.10148E+03
    2800,2025-11-19T05:35:29.658+08:00, 0.294E+00, 566.61325, 0.10502E+03
    2900,2025-11-19T05:35:32.361+08:00, 0.311E+00, 594.35393, 0.10911E+03
    2918,2025-11-19T05:35:32.879+08:00, 0.266E-01, 600.00000, 0.10988E+03
