s,C,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5","TEMP_6"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.2324557E+000, 2.0041248E+001, 2.0041346E+001, 2.0041388E+001, 2.8978505E+001, 2.0041315E+001, 2.0041475E+001, 2.0041207E+001
 1.0185980E+001, 2.0355609E+001, 2.0373870E+001, 2.0355775E+001, 5.5164243E+001, 2.0355117E+001, 2.1555005E+001, 2.0355074E+001
 1.5126972E+001, 2.0934205E+001, 2.1386163E+001, 2.0931995E+001, 8.4530352E+001, 2.0928580E+001, 2.6386438E+001, 2.0928689E+001
 2.0158489E+001, 2.1853987E+001, 2.8059959E+001, 2.1843113E+001, 9.8692206E+001, 2.3349743E+001, 2.5571769E+001, 2.3529559E+001
 2.5144843E+001, 2.4038715E+001, 3.0245515E+001, 2.4249604E+001, 1.1645610E+002, 2.8015474E+001, 2.6735360E+001, 2.7775456E+001
 3.0157478E+001, 2.6785270E+001, 2.4824084E+001, 2.6932354E+001, 1.3667393E+002, 2.9320223E+001, 3.3548351E+001, 2.8919094E+001
 3.5110192E+001, 3.1311671E+001, 2.2579410E+001, 3.1193416E+001, 1.3913781E+002, 3.0743129E+001, 3.7641463E+001, 3.0535722E+001
 4.0219373E+001, 3.5015070E+001, 2.5768623E+001, 3.4699148E+001, 1.4032094E+002, 3.1789429E+001, 4.2637297E+001, 3.1952152E+001
 4.5178618E+001, 3.4948319E+001, 3.5279420E+001, 3.4284833E+001, 1.9722422E+002, 3.6599429E+001, 5.1104827E+001, 3.6120454E+001
 5.0139775E+001, 3.2682664E+001, 5.1133328E+001, 3.0015987E+001, 2.1390316E+002, 3.8140263E+001, 6.2253199E+001, 3.6666443E+001
 5.5210815E+001, 3.1663347E+001, 5.0977203E+001, 3.2633010E+001, 2.2030912E+002, 3.9165492E+001, 6.3890580E+001, 3.7054797E+001
 6.0118911E+001, 3.5906716E+001, 4.8905269E+001, 3.9715793E+001, 2.4532136E+002, 3.8558481E+001, 6.5393495E+001, 4.0325147E+001
 6.5105827E+001, 4.5896289E+001, 5.0605343E+001, 4.8585221E+001, 2.2238974E+002, 3.9561648E+001, 7.6466840E+001, 4.9843779E+001
 7.0041274E+001, 4.5804582E+001, 5.5241683E+001, 5.0184744E+001, 2.6291813E+002, 4.5694871E+001, 7.6227482E+001, 5.2192728E+001
 7.5084128E+001, 4.8614310E+001, 5.8244689E+001, 5.0582568E+001, 2.3749056E+002, 4.9755682E+001, 8.4590513E+001, 4.9464777E+001
 8.0225317E+001, 5.2474707E+001, 7.0239252E+001, 5.0705684E+001, 2.5869231E+002, 4.9084432E+001, 8.8831620E+001, 4.9782247E+001
 8.5044277E+001, 5.3268511E+001, 7.2861283E+001, 5.1599037E+001, 2.8228027E+002, 5.1225309E+001, 9.2762749E+001, 5.1176570E+001
 9.0050096E+001, 5.4733436E+001, 6.9361847E+001, 5.2759350E+001, 2.8102287E+002, 5.1581726E+001, 9.5367850E+001, 5.1676662E+001
 9.5147163E+001, 5.8898176E+001, 7.1115389E+001, 5.4802834E+001, 2.0180048E+002, 5.1811761E+001, 1.0261489E+002, 5.6255438E+001
 1.0015446E+002, 5.8887339E+001, 7.4140355E+001, 6.2127593E+001, 2.3819592E+002, 5.2821213E+001, 1.0926692E+002, 5.5605835E+001
 1.0502402E+002, 5.9211102E+001, 7.5122763E+001, 6.5732131E+001, 2.2443032E+002, 5.6255983E+001, 1.1149974E+002, 5.4107613E+001
 1.1003350E+002, 6.0182396E+001, 8.1508191E+001, 6.2718469E+001, 2.5100066E+002, 6.0681407E+001, 1.1140168E+002, 5.6940259E+001
 1.1506296E+002, 5.9620718E+001, 8.3293344E+001, 6.2568100E+001, 2.3212586E+002, 6.1512864E+001, 1.1864907E+002, 6.6206824E+001
 1.2024821E+002, 6.3689442E+001, 7.2411844E+001, 7.0841490E+001, 2.4965190E+002, 5.9623861E+001, 1.2242629E+002, 6.8350669E+001
 1.2515428E+002, 7.0611046E+001, 8.6774086E+001, 7.1027341E+001, 2.2991329E+002, 6.1721450E+001, 1.1723482E+002, 6.4095608E+001
 1.3016249E+002, 6.4682660E+001, 9.6644759E+001, 7.1576164E+001, 2.8193052E+002, 6.0264785E+001, 1.2593502E+002, 6.4128524E+001
 1.3518586E+002, 6.3281436E+001, 8.8484021E+001, 6.9415566E+001, 2.6630701E+002, 5.9107132E+001, 1.1862867E+002, 6.6994554E+001
 1.4000166E+002, 6.3378870E+001, 8.5715710E+001, 7.1753903E+001, 2.0713507E+002, 6.1621107E+001, 1.2678370E+002, 6.8263070E+001
 1.4509190E+002, 6.7115314E+001, 9.0490804E+001, 7.7745576E+001, 2.3476192E+002, 6.6516723E+001, 1.2319591E+002, 6.6378790E+001
 1.5007515E+002, 7.1967854E+001, 1.0035709E+002, 8.0393534E+001, 1.9177056E+002, 6.4113747E+001, 1.2588543E+002, 6.8572578E+001
 1.5505192E+002, 7.4029971E+001, 9.5639820E+001, 7.8303192E+001, 3.0436013E+002, 6.4871889E+001, 1.2943505E+002, 6.9476146E+001
 1.6013197E+002, 7.1740579E+001, 9.6354990E+001, 7.4952632E+001, 2.2261815E+002, 6.8081627E+001, 1.4199137E+002, 6.9454521E+001
 1.6512333E+002, 7.1226914E+001, 1.0104935E+002, 7.6046108E+001, 2.6871140E+002, 6.5466071E+001, 1.1858877E+002, 7.0271835E+001
 1.7004166E+002, 6.9954803E+001, 9.7431220E+001, 7.8293104E+001, 2.3276012E+002, 6.7972224E+001, 1.3752321E+002, 6.9099398E+001
