s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2272278E-003,-1.4210855E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2272278E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8652328E+000
 6.2467213E+000, 1.8716414E+002, 0.0000000E+000,-2.1935997E+001, 1.4869324E+000,-5.6235469E-001,-1.4203830E-002, 5.8349245E+001, 0.0000000E+000, 1.7671121E+002, 2.2448776E+002, 0.0000000E+000, 4.7606105E-003, 0.0000000E+000, 2.4044570E+002
 1.2155125E+001, 5.3927469E+002, 0.0000000E+000,-1.1032210E+002, 6.2008911E+000,-1.0005356E+001,-3.9286625E-002, 1.6697973E+002, 0.0000000E+000, 5.8199597E+002, 5.9208856E+002, 0.0000000E+000, 1.2549580E-002, 0.0000000E+000, 1.0051284E+003
 1.8144167E+001, 8.9779706E+002, 0.0000000E+000,-2.1328801E+002, 1.8211832E+001,-3.2326970E+001,-6.3569377E-002, 2.6187740E+002, 0.0000000E+000, 9.1732783E+002, 9.3220775E+002, 0.0000000E+000, 2.0576505E-002, 0.0000000E+000, 2.2204881E+003
 2.4078325E+001, 1.2539479E+003, 0.0000000E+000,-3.1736091E+002,-3.2805010E+001,-6.3005848E+001,-8.7960384E-002, 3.5121771E+002, 0.0000000E+000, 1.1873809E+003, 1.1919059E+003, 0.0000000E+000, 2.8547624E-002, 0.0000000E+000, 3.8461407E+003
 3.0157478E+001, 1.6020762E+003, 0.0000000E+000,-4.3396574E+002,-1.3573330E+001,-1.0586101E+002,-1.1143365E-001, 4.2606222E+002, 0.0000000E+000, 1.4676407E+003, 1.4746269E+003, 0.0000000E+000, 3.6602661E-002, 0.0000000E+000, 5.8690389E+003
 3.6061298E+001, 1.8003191E+003, 0.0000000E+000,-5.2075605E+002,-2.9595326E+000,-1.4935914E+002,-1.2304350E-001, 4.5411024E+002, 0.0000000E+000, 1.5873258E+003, 1.5812315E+003, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 7.9732083E+003
 4.2079983E+001, 1.7916118E+003, 0.0000000E+000,-5.5246697E+002, 1.5327419E+001,-1.9138273E+002,-1.2281444E-001, 4.2111042E+002, 0.0000000E+000, 1.4898193E+003, 1.4840771E+003, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 9.9611463E+003
 4.8154522E+001, 1.8006185E+003, 0.0000000E+000,-5.5642923E+002, 1.6274385E+001,-2.4088893E+002,-1.2339649E-001, 4.0536536E+002, 0.0000000E+000, 1.4310282E+003, 1.4248167E+003, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 1.1891419E+004
 5.4232574E+001, 1.8019070E+003, 0.0000000E+000,-6.0863520E+002, 5.2586068E+000,-2.8953523E+002,-1.2304602E-001, 3.6495928E+002, 0.0000000E+000, 1.2795441E+003, 1.2738314E+003, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 1.3632938E+004
 6.0118912E+001, 1.8012273E+003, 0.0000000E+000,-6.1268415E+002,-1.9835849E+000,-3.4563877E+002,-1.2357294E-001, 3.4144512E+002, 0.0000000E+000, 1.1901641E+003, 1.1822424E+003, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 1.5207786E+004
 6.6112358E+001, 1.7937728E+003, 0.0000000E+000,-6.2628795E+002, 3.6822832E+000,-3.8421266E+002,-1.2274007E-001, 3.1936584E+002, 0.0000000E+000, 1.1112546E+003, 1.1061976E+003, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 1.6709649E+004
 7.2075310E+001, 1.8165669E+003, 0.0000000E+000,-6.6910175E+002,-1.2541779E+001,-4.1359918E+002,-1.2355820E-001, 2.9670484E+002, 0.0000000E+000, 1.0253766E+003, 1.0179054E+003, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 1.8097521E+004
 7.8101257E+001, 1.7908277E+003, 0.0000000E+000,-6.6880216E+002, 2.7309429E+000,-4.4436048E+002,-1.2134720E-001, 2.7585973E+002, 0.0000000E+000, 9.6511914E+002, 9.5613441E+002, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 1.9403295E+004
 8.4241119E+001, 1.7903790E+003, 0.0000000E+000,-7.2625123E+002, 4.3849038E+000,-4.7519940E+002,-1.1849308E-001, 2.4003090E+002, 0.0000000E+000, 8.4008363E+002, 8.3322568E+002, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 2.0560443E+004
 9.0050095E+001, 1.8070404E+003, 0.0000000E+000,-7.4723297E+002,-3.4744435E+000,-5.0934567E+002,-1.2346619E-001, 2.2556892E+002, 0.0000000E+000, 7.8115274E+002, 7.7243279E+002, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 2.1587699E+004
 9.6039375E+001, 1.8144350E+003, 0.0000000E+000,-7.6675269E+002, 5.7570998E+000,-5.3553007E+002,-1.2404964E-001, 2.0819613E+002, 0.0000000E+000, 7.2143253E+002, 7.2598139E+002, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 2.2560369E+004
